"","add0","add1","add2","add3","mwqg"
"1","괴산군","괴산읍","동부리","동진교",2.5
"2","괴산군","괴산읍","서부리","정용교",2
"3","괴산군","불정면","목도리","목도교",5.75
"4","괴산군","불정면","창산리","남창교",3
"5","괴산군","불정면","하문리","조곡교",5.45833333333333
"6","괴산군","청천면","덕평리","운교",2.25
"7","괴산군","청천면","화양리","화양제1교",1.71428571428571
"8","괴산군","칠성면","","괴강교",3.66666666666667
"9","괴산군","칠성면","괴강교",NA,2
"10","괴산군","칠성면","도정리","칠성교",2.23076923076923
"11","괴산군","칠성면","사은리",NA,2
"12","괴산군","칠성면","쌍곡리","쌍곡교",2
"13","괴산군","칠성면","외사리","댐앞",5.75
