rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
1,4009A40,덕은,경상남도 하동군 화개면 탑리(남도대교) 영당앞,영산강유역환경청,2019,01,1회차,,127.00,38.00,31.00,35.00,10.00,11.00,2019.01.14,,,3.9000,7.1000,15.3000,0.5000,2.5000,1.2000,24.0000,2.1150,0.0160,,,,,,,,,,,,,2.1000,,,,,,,175.0000,,,1.7300,0.0000,6.0000,0.0000,2.0760,0.0120,,,,,,,,1.7000,,,,,,,,,
2,5006A40,무안1,전라남도 무안군 몽탄면 명산리 몽탄대교,영산강유역환경청,2019,01,3회차,,126.00,31.00,48.00,34.00,53.00,55.00,2019.01.21,,,4.0000,8.0000,14.3000,3.7000,8.1000,19.6000,30.0000,5.8630,0.0650,,,,,,,,,,,,,49.1000,,,,,,,472.0000,,,3.6100,0.7170,5.0000,0.0000,5.5710,0.0300,,,,,,,,5.7000,,,,,,,,,
3,4008A20,보성천-1,전라남도 곡성군 죽곡면 하한리 압록교,영산강유역환경청,2019,01,1회차,,127.00,22.00,34.00,35.00,11.00,34.00,2019.01.07,,,3.6000,7.1000,11.7000,0.6000,2.7000,0.4000,12.0000,1.0390,0.0120,,,,,,,,,,,,,1.2000,,,,,,,106.0000,,,0.6170,0.0480,6.0000,0.0000,0.9940,0.0130,,,,,,,,1.9000,,,,,,,,,
4,4008A20,보성천-1,전라남도 곡성군 죽곡면 하한리 압록교,영산강유역환경청,2019,01,4회차,,127.00,22.00,34.00,35.00,11.00,34.00,2019.01.28,,,3.4000,8.2000,13.6000,1.0000,3.2000,1.6000,6.0000,0.9770,0.0190,,,,,,,,,,,,,1.9000,,,,,,,157.0000,,,0.5920,0.0440,2.0000,0.0000,0.9000,0.0160,,,,,,,,1.8000,,,,,,,,,
5,4105A40,수어천1,전라남도 광양시 광영동 십리제방,영산강유역환경청,2019,01,1회차,,127.00,43.00,45.00,34.00,57.00,46.00,2019.01.15,,,6.7000,7.6000,5.6000,1.5000,2.9000,44.0000,3.0000,0.5810,0.0240,,,,,,,,,,,,,20.8000,,,,,,,43665.0000,,,0.1750,0.0120,2.0000,0.0000,0.4940,0.0130,,,,,,,,1.9000,,,,,,,,,
6,4104A40,순천동천2,전라남도 순천시 홍래동 동천교,영산강유역환경청,2019,01,1회차,,127.00,31.00,11.00,34.00,54.00,56.00,2019.01.17,,,2.9000,8.4000,15.3000,3.0000,5.3000,10.8000,11.0000,2.2160,0.0420,,,,,,,,,,,,,41.2000,,,,,,,214.0000,,,1.4430,0.0000,1.0000,0.0000,2.1210,0.0420,,,,,,,,2.9000,,,,,,,,,
7,4104A50,순천동천3,전라남도 순천시 교량동 동천과 이사천 합류후,영산강유역환경청,2019,01,1회차,,127.00,31.00,2.00,34.00,54.00,5.00,2019.01.23,,,6.6000,7.5000,12.3000,7.0000,21.5000,47.2000,2200.0000,8.1700,0.4580,,,,,,,,,,,,,2.9000,,,,,,,12940.0000,,,1.1510,5.6530,700.0000,0.2510,7.2560,0.2860,,,,,,,,11.2000,,,,,,,,,
8,5008B10,영산호1,전라남도 목포시 옥암동 방조제앞,영산강유역환경청,2019,01,13,5.0,126.00,27.00,4.00,34.00,47.00,34.00,2019.01.08,,,3.9000,7.4000,13.7000,0.8000,5.4000,6.4000,42.0000,3.1170,0.0440,,,,,,,,,,,,,1.9000,,,,,,,1268.0000,,,1.9960,0.3600,10.0000,0.0210,2.9660,0.0320,,,,,,,,3.4000,,,,,,,,,
9,5008B10,영산호1,전라남도 목포시 옥암동 방조제앞,영산강유역환경청,2019,01,15,10.0,126.00,27.00,4.00,34.00,47.00,34.00,2019.01.08,,,3.8000,7.4000,14.1000,0.7000,5.0000,6.4000,55.0000,3.1070,0.0410,,,,,,,,,,,,,1.8000,,,,,,,1292.0000,,,2.3620,0.3340,1.0000,0.0190,3.0790,0.0330,,,,,,,,3.6000,,,,,,,,,
10,5005A05,고막원천,전라남도 함평군 월야면 계림리 마을교량,영산강물환경연구소,2019,01,3회차,,126.00,37.00,46.00,35.00,12.00,3.00,2019.01.22,1.2400,0.2210,3.4000,8.2000,17.2000,1.3000,3.2000,2.9000,,4.0540,0.0370,,,,,,,,,,,,,,,,,,,,271.0000,,,,,,,,,,,,,,,,2.4000,,,,,,,,,
11,5005A05,고막원천,전라남도 함평군 월야면 계림리 마을교량,영산강물환경연구소,2019,01,4회차,,126.00,37.00,46.00,35.00,12.00,3.00,2019.01.29,1.2200,0.1640,2.3000,7.7000,13.9000,1.0000,3.1000,6.5000,,4.3440,0.0660,,,,,,,,,,,,,,,,,,,,242.0000,,,,,,,,,,,,,,,,3.5000,,,,,,,,,
12,5005A13,식지천,전라남도 함평군 나사면 용두리 선박교,영산강물환경연구소,2019,01,2회차,,126.00,38.00,45.00,35.00,8.00,35.00,2019.01.15,1.4600,0.0310,3.0000,8.1000,14.7000,2.9000,7.4000,9.9000,,1.7130,0.0620,,,,,,,,,,,,,,,,,,,,284.0000,,,,,,,,,,,,,,,,5.7000,,,,,,,,,
13,5005A13,식지천,전라남도 함평군 나사면 용두리 선박교,영산강물환경연구소,2019,01,3회차,,126.00,38.00,45.00,35.00,8.00,35.00,2019.01.22,1.4600,0.0110,4.2000,8.1000,18.7000,3.8000,8.5000,7.0000,,1.5290,0.0300,,,,,,,,,,,,,,,,,,,,335.0000,,,,,,,,,,,,,,,,6.1000,,,,,,,,,
14,5005A13,식지천,전라남도 함평군 나사면 용두리 선박교,영산강물환경연구소,2019,01,4회차,,126.00,38.00,45.00,35.00,8.00,35.00,2019.01.29,1.4600,0.0190,3.8000,8.6000,16.5000,4.1000,8.1000,10.8000,,1.3700,0.0580,,,,,,,,,,,,,,,,,,,,307.0000,,,,,,,,,,,,,,,,7.7000,,,,,,,,,
15,5005A17,구산천,전라남도 함평군 나산면 덕림리 죽림교,영산강물환경연구소,2019,01,2회차,,126.00,35.00,42.00,35.00,5.00,32.00,2019.01.15,1.4500,0.0370,3.2000,7.4000,14.1000,1.0000,2.5000,2.4000,,1.8120,0.0190,,,,,,,,,,,,,,,,,,,,149.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
16,5005A17,구산천,전라남도 함평군 나산면 덕림리 죽림교,영산강물환경연구소,2019,01,3회차,,126.00,35.00,42.00,35.00,5.00,32.00,2019.01.22,1.4500,0.0340,2.9000,8.4000,14.6000,0.6000,2.5000,1.0000,,1.8280,0.0050,,,,,,,,,,,,,,,,,,,,203.0000,,,,,,,,,,,,,,,,1.9000,,,,,,,,,
17,5005A17,구산천,전라남도 함평군 나산면 덕림리 죽림교,영산강물환경연구소,2019,01,4회차,,126.00,35.00,42.00,35.00,5.00,32.00,2019.01.29,1.4500,0.0360,2.6000,7.9000,15.0000,0.6000,2.4000,0.5000,,1.7090,0.0100,,,,,,,,,,,,,,,,,,,,153.0000,,,,,,,,,,,,,,,,2.3000,,,,,,,,,
18,5006A25,무안천,전라남도 무안군 무안읍 용월리 송촌교상류교량,영산강물환경연구소,2019,01,2회차,,126.00,29.00,52.00,35.00,0.00,3.00,2019.01.15,1.2200,0.1270,4.7000,7.4000,10.8000,3.4000,7.6000,6.6000,,7.0530,0.3050,,,,,,,,,,,,,,,,,,,,683.0000,,,,,,,,,,,,,,,,5.2000,,,,,,,,,
19,5006A25,무안천,전라남도 무안군 무안읍 용월리 송촌교상류교량,영산강물환경연구소,2019,01,3회차,,126.00,29.00,52.00,35.00,0.00,3.00,2019.01.22,1.2100,0.0910,5.2000,7.0000,12.0000,3.8000,8.4000,6.6000,,7.3520,0.1100,,,,,,,,,,,,,,,,,,,,661.0000,,,,,,,,,,,,,,,,6.4000,,,,,,,,,
20,5006A25,무안천,전라남도 무안군 무안읍 용월리 송촌교상류교량,영산강물환경연구소,2019,01,4회차,,126.00,29.00,52.00,35.00,0.00,3.00,2019.01.29,1.2200,0.0980,5.3000,7.5000,12.9000,4.3000,9.3000,6.1000,,7.5610,0.2970,,,,,,,,,,,,,,,,,,,,702.0000,,,,,,,,,,,,,,,,8.3000,,,,,,,,,
21,1023A50,문산천3,경기도 파주시 문산읍 내포리 임월교,한강물환경연구소,2019,03,3회차,,126.00,46.00,42.00,37.00,51.00,20.00,2019.03.21,,2.1300,11.2000,7.6000,10.4000,3.2000,7.9000,68.5000,10000.0000,4.6550,0.1550,,,,,,0.0000,,,,,,,14.9000,,,,,,,715.0000,,,2.1600,0.9410,5000.0000,0.0190,4.2000,0.0500,,,,,,,,4.5000,,,,,,,,,
22,1023A50,문산천3,경기도 파주시 문산읍 내포리 임월교,한강물환경연구소,2019,03,4회차,,126.00,46.00,42.00,37.00,51.00,20.00,2019.03.29,,0.8540,11.5000,7.8000,9.4000,2.5000,6.3000,12.0000,,4.4450,0.1350,,,,,,,,,,,,,,,,,,,,756.0000,,,2.2060,0.9200,,0.0180,4.2700,0.0400,,,,,,,,3.2000,,,,,,,,,
23,1010A35,춘천A,강원도 춘천시 신북읍 용산리 춘천댐 방류구,한강물환경연구소,2019,03,1회차,,127.00,40.00,18.00,37.00,57.00,55.00,2019.03.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1010A35,춘천A,강원도 춘천시 신북읍 용산리 춘천댐 방류구,한강물환경연구소,2019,03,2회차,,127.00,40.00,18.00,37.00,57.00,55.00,2019.03.13,,40.3000,4.8000,8.2000,13.3000,0.5000,2.4000,1.1000,,1.0930,0.0080,,,,,,,,,,,,,,,,,,,,114.0000,,,0.9390,0.0110,,0.0050,1.0900,0.0060,,,,,,,,1.2000,,,,,,,,,
25,1010A35,춘천A,강원도 춘천시 신북읍 용산리 춘천댐 방류구,한강물환경연구소,2019,03,3회차,,127.00,40.00,18.00,37.00,57.00,55.00,2019.03.19,,40.9000,5.9000,7.9000,10.7000,0.7000,2.5000,1.1000,,1.1200,0.0070,,,,,,,,,,,,,,,,,,,,116.0000,,,0.9300,0.0090,,0.0010,1.0830,0.0060,,,,,,,,1.2000,,,,,,,,,
26,1010A35,춘천A,강원도 춘천시 신북읍 용산리 춘천댐 방류구,한강물환경연구소,2019,03,4회차,,127.00,40.00,18.00,37.00,57.00,55.00,2019.03.26,,40.1000,6.6000,7.7000,11.4000,0.4000,2.4000,1.2000,,1.1230,0.0060,,,,,,,,,,,,,,,,,,,,119.0000,,,0.9050,0.0160,,0.0010,1.0880,0.0030,,,,,,,,1.3000,,,,,,,,,
27,1015A10,청평,경기도 가평군 청평면 청평리 청평댐 직하류,한강물환경연구소,2019,03,1회차,,127.00,25.00,20.00,37.00,43.00,14.00,2019.03.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1004A42,음성천,충청북도 괴산군 불정면 창산리 남창교,충청북도 보건환경연구원,2019,03,1회차,,127.00,50.00,59.00,36.00,52.00,40.00,2019.03.14,,,7.0000,7.9000,14.2000,2.1000,3.2000,1.4000,14.0000,3.1550,0.0190,,,,,,,,,,,,,1.5000,,,,,,,391.0000,,,2.6950,0.0820,5.0000,0.0050,2.9690,0.0070,,,,,,,,1.6000,,,,,,,,,
29,1004A20,쌍천,충청북도 괴산군 칠성면 도정리 칠성교,충청북도 보건환경연구원,2019,03,1회차,,127.00,51.00,41.00,36.00,47.00,11.00,2019.03.14,,,6.7000,8.1000,13.7000,1.6000,3.0000,1.0000,27.0000,2.5070,0.0150,,,,,,,,,,,,,0.6000,,,,,,,252.0000,,,1.6740,0.0150,2.0000,0.0030,2.3930,0.0030,,,,,,,,1.3000,,,,,,,,,
30,1004A15,향목동천,충청북도 괴산군 칠성면 쌍곡리 쌍곡교,충청북도 보건환경연구원,2019,03,1회차,,127.00,53.00,25.00,36.00,46.00,24.00,2019.03.14,,,8.2000,8.3000,13.8000,0.7000,2.2000,0.3000,17.0000,1.3640,0.0090,,,,,,,,,,,,,0.6000,,,,,,,75.0000,,,1.0870,0.0020,,0.0040,1.2660,0.0060,,,,,,,,0.9000,,,,,,,,,
31,1004A10,화양천,충청북도 괴산군 청천면 화양리 화양제1교,충청북도 보건환경연구원,2019,03,1회차,,127.00,48.00,19.00,36.00,40.00,37.00,2019.03.14,,,7.7000,8.0000,14.5000,0.7000,1.8000,0.6000,11.0000,2.2930,0.0580,,,,,,,,,,,,,0.6000,,,,,,,84.0000,,,1.5330,0.0130,,0.0030,2.0280,0.0030,,,,,,,,1.0000,,,,,,,,,
32,1003A48,장평천,충청북도 제천시 영천동 신동대교,충청북도 보건환경연구원,2019,03,1회차,,128.00,9.00,43.00,37.00,7.00,26.00,2019.03.13,,,7.4000,7.8000,12.2000,5.3000,7.2000,4.8000,2400.0000,15.5700,0.0650,,,,,,,,,,,,,4.4000,,,,,,,742.0000,,,2.6540,9.8900,1300.0000,0.0110,15.3570,0.0340,,,,,,,,4.8000,,,,,,,,,
33,1003A65,원서천,충청북도 제천시 백운면 평동리 평동교,충청북도 보건환경연구원,2019,03,1회차,,128.00,1.00,26.00,37.00,8.00,7.00,2019.03.13,,,5.7000,8.7000,14.7000,0.9000,1.8000,1.1000,49.0000,4.3820,0.0260,,,,,,,,,,,,,0.9000,,,,,,,152.0000,,,3.4460,0.0950,33.0000,0.0150,3.8570,0.0230,,,,,,,,1.2000,,,,,,,,,
34,3004A60,영동천1,충청북도 영동군 영동읍 부용리,충청북도 보건환경연구원,2019,03,1회차,,127.00,46.00,36.00,36.00,10.00,16.00,2019.03.08,,,10.1000,8.2000,14.0000,0.8000,2.2000,1.2000,540.0000,3.0180,0.0140,,,,,,,,,,,,,1.6000,,,,,,,241.0000,,,2.7470,0.0120,13.0000,0.0030,2.8020,0.0080,,,,,,,,1.2000,,,,,,,,,
35,3004A70,영동천2,충청북도 영동군 심천면 초강리 초강교,충청북도 보건환경연구원,2019,03,1회차,,127.00,42.00,49.00,36.00,12.00,41.00,2019.03.08,,,12.1000,8.0000,13.1000,1.2000,3.4000,1.1000,540.0000,3.7120,0.0160,,,,,,,,,,,,,1.6000,,,,,,,305.0000,,,3.1550,0.1090,49.0000,0.0050,3.6910,0.0070,,,,,,,,2.0000,,,,,,,,,
36,3005A10,추풍령천,충청북도 영동군 매곡면,충청북도 보건환경연구원,2019,03,1회차,,127.00,56.00,4.00,36.00,11.00,11.00,2019.03.08,,,8.1000,8.3000,13.0000,1.0000,4.0000,5.6000,94.0000,2.6300,0.0490,,,,,,,,,,,,,4.7000,,,,,,,221.0000,,,1.7340,0.0440,8.0000,0.0380,2.5580,0.0400,,,,,,,,2.3000,,,,,,,,,
37,2002B20,임하댐1,경상북도 안동시 임하면 천전리 댐앞,한국수자원공사,2019,03,13,26.0,128.00,53.00,20.00,36.00,31.00,60.00,2019.03.04,,,4.7000,7.3000,9.6000,1.3000,3.6000,0.8000,36.0000,1.6040,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,0.2000,,,,,,,185.0000,0.0000,0.0000,1.3000,0.0160,0.0000,0.0120,1.4620,0.0170,,,0.0000,0.0000,0.0000,0.0000,0.0000,4.6000,,0.0000,0.0000,,0.0000,,,,
38,2002B20,임하댐1,경상북도 안동시 임하면 천전리 댐앞,한국수자원공사,2019,03,15,42.0,128.00,53.00,20.00,36.00,31.00,60.00,2019.03.04,,,4.8000,7.1000,7.2000,1.5000,5.3000,1.4000,33.0000,1.5990,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,0.2000,,,,,,,216.0000,0.0000,0.0000,1.3000,0.0150,0.0000,0.0110,1.5410,0.0140,,,0.0000,0.0000,0.0000,0.0000,0.0000,5.1000,,0.0000,0.0000,,0.0000,,,,
39,2002B30,임하댐3,경상북도 안동시 길안면 지례리,한국수자원공사,2019,03,11,3.0,128.00,57.00,22.00,36.00,30.00,8.00,2019.03.04,153.4600,,6.2000,7.9000,11.7000,1.7000,5.2000,1.1000,41.0000,1.5750,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,3.5000,0.2000,,,,,0.0000,,185.0000,0.0000,0.0000,1.2000,0.0150,0.0000,0.0090,1.2970,0.0130,,,0.0000,0.0000,0.0000,0.0000,0.0000,4.4000,,0.0000,0.0000,,0.0000,,,,
40,2002B30,임하댐3,경상북도 안동시 길안면 지례리,한국수자원공사,2019,03,13,7.0,128.00,57.00,22.00,36.00,30.00,8.00,2019.03.04,,,5.3000,7.9000,11.6000,1.8000,4.9000,1.2000,39.0000,1.4720,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,0.6000,,,,,,,187.0000,0.0000,0.0000,1.2000,0.0160,0.0000,0.0100,1.4030,0.0140,,,0.0000,0.0000,0.0000,0.0000,0.0000,4.4000,,0.0000,0.0000,,0.0000,,,,
41,2002B30,임하댐3,경상북도 안동시 길안면 지례리,한국수자원공사,2019,03,15,13.0,128.00,57.00,22.00,36.00,30.00,8.00,2019.03.04,,,4.1000,7.8000,11.4000,1.4000,5.3000,1.2000,38.0000,1.8260,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,0.6000,,,,,,,199.0000,0.0000,0.0000,1.2000,0.0190,0.0000,0.0110,1.5340,0.0160,,,0.0000,0.0000,0.0000,0.0000,0.0000,4.4000,,0.0000,0.0000,,0.0000,,,,
42,1015A10,청평,경기도 가평군 청평면 청평리 청평댐 직하류,한강물환경연구소,2019,03,2회차,,127.00,25.00,20.00,37.00,43.00,14.00,2019.03.13,,64.9000,5.0000,7.8000,12.5000,0.6000,2.8000,1.7000,,1.6930,0.0080,,,,,,,,,,,,,4.6000,,,,,,,122.0000,,,1.3860,0.1310,,0.0030,1.6740,0.0070,,,,,,,,1.7000,,,,,,,,,
43,1015A10,청평,경기도 가평군 청평면 청평리 청평댐 직하류,한강물환경연구소,2019,03,3회차,,127.00,25.00,20.00,37.00,43.00,14.00,2019.03.20,,106.1000,6.9000,7.8000,11.5000,1.3000,3.1000,2.4000,,1.7610,0.0150,,,,,,,,,,,,,7.1000,,,,,,,127.0000,,,1.4040,0.0940,,0.0010,1.6860,0.0120,,,,,,,,1.3000,,,,,,,,,
44,1015A10,청평,경기도 가평군 청평면 청평리 청평댐 직하류,한강물환경연구소,2019,03,4회차,,127.00,25.00,20.00,37.00,43.00,14.00,2019.03.27,,82.1000,7.7000,7.8000,12.0000,0.8000,3.3000,2.0000,,1.7040,0.0110,,,,,,,,,,,,,7.6000,,,,,,,133.0000,,,1.3520,0.0760,,0.0010,1.6500,0.0050,,,,,,,,1.6000,,,,,,,,,
45,1003A17,영춘,충청북도 단양군 영춘면 오사리 북벽교,한강물환경연구소,2019,03,1회차,,128.00,29.00,15.00,37.00,4.00,57.00,2019.03.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1003A17,영춘,충청북도 단양군 영춘면 오사리 북벽교,한강물환경연구소,2019,03,2회차,,128.00,29.00,15.00,37.00,4.00,57.00,2019.03.12,,13.4200,8.3000,8.5000,11.0000,0.6000,2.9000,1.8000,,3.1220,0.0100,,,,,,,,,,,,,,,,,,,,311.0000,,,2.9010,0.0280,,0.0060,3.0800,0.0080,,,,,,,,1.3000,,,,,,,,,
47,1003A17,영춘,충청북도 단양군 영춘면 오사리 북벽교,한강물환경연구소,2019,03,3회차,,128.00,29.00,15.00,37.00,4.00,57.00,2019.03.19,,15.2400,9.7000,8.6000,11.3000,0.8000,2.8000,1.7000,,3.1180,0.0120,,,,,,,,,,,,,,,,,,,,303.0000,,,2.5780,0.0150,,0.0020,3.1120,0.0080,,,,,,,,1.2000,,,,,,,,,
48,3005A20,초강1,충청북도 영동군 매곡면 장척리 내장교,충청북도 보건환경연구원,2019,03,1회차,,127.00,56.00,3.00,36.00,12.00,9.00,2019.03.08,,,9.1000,8.4000,11.9000,0.8000,2.4000,0.8000,920.0000,1.9050,0.0100,,,,,,,,,,,,,0.6000,,,,,,,127.0000,,,1.3460,0.0230,7.0000,0.0050,1.8200,0.0090,,,,,,,,1.2000,,,,,,,,,
49,3005A27,석천,충청북도 영동군 황간면 우매리(반야사 상류 시군 경계지점),충청북도 보건환경연구원,2019,03,1회차,,,,,,,,2019.03.08,,,8.1000,8.3000,13.0000,1.4000,4.0000,1.6000,130.0000,2.7430,0.0140,,,,,,,,,,,,,3.0000,,,,,,,221.0000,,,1.8530,0.0110,8.0000,0.0030,2.6480,0.0070,,,,,,,,2.1000,,,,,,,,,
50,1018A44,성북천,서울특별시 동대문구 신설동 성북천교,서울특별시 보건환경연구원,2019,03,1회차,,127.00,2.00,55.00,37.00,34.00,5.00,2019.03.07,,,12.3000,7.9000,13.3000,1.4000,1.6000,2.6000,14.0000,4.6010,0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,9.5000,,,,,0.0000,,460.0000,,,4.0820,0.0090,6.0000,0.0050,4.5710,0.0070,,,,,,,,1.0000,,0.0000,,,,,,,
51,1013A80,가평천2,경기도 가평군 북면 목동리,경기도 보건환경연구원,2019,03,1회차,,127.00,32.00,53.00,37.00,52.00,59.00,2019.03.11,,,7.1000,7.5000,13.7000,0.5000,1.3000,0.4000,21.0000,1.5950,0.0060,,,,,,,,0.2000,,,,,0.5000,,,,,,,88.0000,,,1.4550,0.0140,14.0000,0.0050,1.5320,0.0060,,,,,,,,0.3000,,,,,,,,,
52,1015A20,조종천1,경기도 가평군 하면 하판리,경기도 보건환경연구원,2019,03,1회차,,127.00,21.00,0.00,37.00,51.00,54.00,2019.03.11,,,8.3000,7.4000,14.2000,0.6000,1.7000,0.4000,110.0000,2.4390,0.0340,,,,,,,,0.1000,,,,,0.7000,,,,,,,114.0000,,,2.2320,0.0160,14.0000,0.0310,2.3490,0.0340,,,,,,,,0.4000,,,,,,,,,
53,1015A25,조종천2,경기도 가평군 상면 항사리,경기도 보건환경연구원,2019,03,1회차,,127.00,22.00,13.00,37.00,47.00,44.00,2019.03.11,,,8.4000,7.2000,13.6000,0.8000,3.1000,1.2000,26.0000,3.2810,0.0220,,,,,,,,0.1000,,,,,2.0000,,,,,,,203.0000,,,3.0580,0.0130,8.0000,0.0180,3.2190,0.0200,,,,,,,,0.9000,,,,,,,,,
54,1018A28,중랑천1,경기도 의정부시 신곡동 신곡교,경기도 보건환경연구원,2019,03,1회차,,127.00,3.00,19.00,37.00,44.00,5.00,2019.03.07,,,10.8000,7.4000,13.7000,2.4000,5.7000,10.8000,54000.0000,4.5100,0.0470,,,,,,,,,,,,,30.0000,,,,,,,415.0000,,,3.8560,0.3290,22000.0000,0.0400,4.3420,0.0440,,,,,,,,3.5000,,,,,,,,,
55,1022A45,신천1,경기도 양주시 덕정동,경기도 보건환경연구원,2019,03,1회차,,127.00,3.00,39.00,37.00,51.00,40.00,2019.03.07,,,8.6000,7.5000,11.0000,5.8000,12.4000,7.6000,17000.0000,4.6170,0.2820,,,,,,,,0.0000,,,,,11.5000,,,,,,,1235.0000,,,2.6350,1.5740,3400.0000,0.2480,4.4160,0.2760,,,,,,,,8.4000,,,,,,,,,
56,1022A50,신천2,경기도 동두천시 생연동 신천교,경기도 보건환경연구원,2019,03,1회차,,127.00,3.00,3.00,37.00,54.00,2.00,2019.03.07,,,11.4000,7.4000,8.8000,10.6000,16.4000,9.6000,3300.0000,8.4090,0.1410,,,,,,,,0.6000,,,,,14.5000,,,,,,,2532.0000,,,6.3750,1.8140,1700.0000,0.1270,8.2890,0.1410,,,,,,,,9.6000,,,,,,,,,
57,1022A65,차탄천,경기도 연천군 전곡읍 온대리,경기도 보건환경연구원,2019,03,1회차,,127.00,3.00,17.00,38.00,1.00,22.00,2019.03.07,,,6.4000,7.7000,13.6000,3.5000,3.8000,1.6000,11000.0000,3.6690,0.0590,,,,,,,,,,,,,5.8000,,,,,,,229.0000,,,2.5640,0.3050,2600.0000,0.0530,2.9090,0.0590,,,,,,,,1.9000,,,,,,,,,
58,1025A36,왕숙천1,경기도 남양주시 진접읍 내각리 내각교,경기도 보건환경연구원,2019,03,1회차,,127.00,9.00,53.00,37.00,42.00,7.00,2019.03.05,,,9.4000,8.2000,16.2000,1.9000,4.8000,1.2000,3300.0000,3.4630,0.0160,,,,,,,,,,,,,5.1000,,,,,,,351.0000,,,2.4930,0.0370,700.0000,0.0130,2.6240,0.0140,,,,,,,,2.8000,,,,,,,,,
59,1025A39,왕숙천2,경기도 남양주시 진건면 신월리 신월교,경기도 보건환경연구원,2019,03,1회차,,127.00,9.00,44.00,37.00,38.00,55.00,2019.03.05,,,11.1000,8.5000,15.2000,3.4000,4.4000,4.0000,390.0000,3.1020,0.0240,,,,,,,,,,,,,8.7000,,,,,,,369.0000,,,2.7930,0.1000,20.0000,0.0130,2.9400,0.0140,,,,,,,,2.8000,,,,,,,,,
60,1025A48,왕숙천3,경기도 구리시 수택동 왕숙교,경기도 보건환경연구원,2019,03,1회차,,127.00,8.00,56.00,37.00,36.00,14.00,2019.03.05,,,12.2000,7.8000,10.7000,4.9000,6.7000,6.8000,24000.0000,7.9130,0.0560,,,,,,,,,,,,,5.1000,,,,,,,494.0000,,,5.4840,2.1230,7900.0000,0.0470,7.7360,0.0520,,,,,,,,4.4000,,,,,,,,,
61,1023A10,임진강2,경기도 파주시 적성면 가월리,경기도 보건환경연구원,2019,03,1회차,,126.00,55.00,12.00,37.00,59.00,1.00,2019.03.08,,,9.4000,7.5000,12.9000,3.2000,5.8000,1.6000,700.0000,4.1940,0.0530,,,,,,,,,,,,,6.6000,,,,,,,677.0000,,,2.8460,1.1980,330.0000,0.0460,4.1540,0.0510,,,,,,,,3.6000,,,,,,,,,
62,1023A20,임진강3,경기도 파주시 파평면 장파리 리비교,경기도 보건환경연구원,2019,03,1회차,,126.00,50.00,4.00,37.00,56.00,33.00,2019.03.08,,,8.2000,7.6000,13.6000,3.0000,5.8000,6.4000,70.0000,3.7850,0.0330,,,,,,,,,,,,,20.3000,,,,,,,709.0000,,,2.7560,0.8960,70.0000,0.0260,3.7430,0.0290,,,,,,,,3.6000,,,,,,,,,
63,1004A45,달천3A,충청북도 괴산군 불정면 하문리 조곡교,한강물환경연구소,2019,03,2회차,,127.00,52.00,47.00,36.00,52.00,50.00,2019.03.12,,4.7820,8.3000,8.2000,11.9000,0.8000,2.9000,2.2000,,2.6100,0.0180,,,,,,,,,,,,,,,,,,,,239.0000,,,2.0680,0.0190,,0.0060,2.5950,0.0120,,,,,,,,1.3000,,,,,,,,,
64,1004A45,달천3A,충청북도 괴산군 불정면 하문리 조곡교,한강물환경연구소,2019,03,3회차,,127.00,52.00,47.00,36.00,52.00,50.00,2019.03.19,,3.5000,11.6000,8.9000,13.1000,0.4000,3.3000,2.0000,,2.6160,0.0240,,,,,,,,,,,,,,,,,,,,227.0000,,,2.0450,0.0250,,0.0030,2.5230,0.0150,,,,,,,,1.5000,,,,,,,,,
