rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
587,1016A35,오산천1,경기도 용인시 처인구 모현면 능원리(선죽교),한강유역환경청,2019,03,4회차,,127.00,10.00,37.00,37.00,20.00,17.00,2019.03.29,1.2700,0.1280,12.8000,7.8000,12.4000,1.4000,2.8000,1.8000,,1.7810,0.0390,,,,,,,,,,,,,,,,,,,,272.0000,,,,,,,,,,,,,,,,2.0000,,,,,,,,,
588,1016A52,목현천,경기도 광주시 회덕동(회덕교),한강유역환경청,2019,03,1회차,,127.00,14.00,42.00,37.00,25.00,26.00,2019.03.07,0.8000,0.0990,8.5000,7.7000,12.1000,1.3000,2.6000,0.4000,,6.6070,0.2210,,,,,,,,,,,,,,,,,,,,286.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
589,1016A52,목현천,경기도 광주시 회덕동(회덕교),한강유역환경청,2019,03,2회차,,127.00,14.00,42.00,37.00,25.00,26.00,2019.03.13,0.8000,0.0880,4.0000,7.3000,12.4000,1.8000,3.1000,1.4000,,7.2970,0.2690,,,,,,,,,,,,,,,,,,,,325.0000,,,,,,,,,,,,,,,,2.5000,,,,,,,,,
590,1016A52,목현천,경기도 광주시 회덕동(회덕교),한강유역환경청,2019,03,3회차,,127.00,14.00,42.00,37.00,25.00,26.00,2019.03.21,0.8400,0.1240,10.3000,7.3000,11.4000,2.0000,4.3000,1.2000,,4.8450,0.2240,,,,,,,,,,,,,,,,,,,,265.0000,,,,,,,,,,,,,,,,3.2000,,,,,,,,,
591,1016A52,목현천,경기도 광주시 회덕동(회덕교),한강유역환경청,2019,03,4회차,,127.00,14.00,42.00,37.00,25.00,26.00,2019.03.29,0.8700,0.2660,11.3000,8.1000,11.6000,1.5000,2.7000,3.0000,,5.4460,0.1300,,,,,,,,,,,,,,,,,,,,361.0000,,,,,,,,,,,,,,,,1.9000,,,,,,,,,
592,1016A72,무갑천,경기도 광주시 초월읍 무갑리(무갑교),한강유역환경청,2019,03,1회차,,127.00,18.00,46.00,37.00,25.00,28.00,2019.03.07,1.7000,0.0380,5.9000,8.1000,12.1000,0.7000,1.6000,0.5000,,2.4300,0.0310,,,,,,,,,,,,,,,,,,,,122.0000,,,,,,,,,,,,,,,,0.9000,,,,,,,,,
593,1016A72,무갑천,경기도 광주시 초월읍 무갑리(무갑교),한강유역환경청,2019,03,2회차,,127.00,18.00,46.00,37.00,25.00,28.00,2019.03.13,1.7000,0.0380,4.1000,8.1000,12.3000,1.6000,2.1000,1.0000,,2.5940,0.0290,,,,,,,,,,,,,,,,,,,,124.0000,,,,,,,,,,,,,,,,1.8000,,,,,,,,,
594,1016A72,무갑천,경기도 광주시 초월읍 무갑리(무갑교),한강유역환경청,2019,03,3회차,,127.00,18.00,46.00,37.00,25.00,28.00,2019.03.21,1.7500,0.0830,8.4000,7.8000,12.5000,0.6000,2.2000,0.6000,,2.7480,0.0260,,,,,,,,,,,,,,,,,,,,128.0000,,,,,,,,,,,,,,,,1.8000,,,,,,,,,
595,1016A72,무갑천,경기도 광주시 초월읍 무갑리(무갑교),한강유역환경청,2019,03,4회차,,127.00,18.00,46.00,37.00,25.00,28.00,2019.03.29,1.7400,0.0630,9.5000,8.3000,13.1000,1.3000,3.3000,2.0000,,2.7400,0.0410,,,,,,,,,,,,,,,,,,,,134.0000,,,,,,,,,,,,,,,,1.8000,,,,,,,,,
596,1007A43,양화천-2,경기도 여주시 능서면 백석리(율극교),한강유역환경청,2019,03,1회차,,127.00,34.00,30.00,37.00,19.00,52.00,2019.03.05,0.8600,1.5700,11.6000,7.1000,12.8000,2.4000,5.3000,3.7000,,5.8460,0.0560,,,,,,,,,,,,,,,,,,,,472.0000,,,,,,,,,,,,,,,,3.6000,,,,,,,,,
