"","add0","add1","add2","add3","mwqg"
"1","인제군","남면","부평리","신남선착장앞",2.52941176470588
"2","인제군","남면","상수내리","양구교",2.35294117647059
"3","인제군","북면","한계리",NA,1.5
"4","인제군","인제읍","고사리","무명교",3.66666666666667
"5","인제군","인제읍","남북리","사구미교",1
"6","인제군","인제읍","덕산리","리빙스톤교",3.55555555555556
"7","인제군","인제읍","합강리","합강교",3
